DateTime,Open,High,Low,Close,Volume
2026-03-12T18:05:00.000+0000,255.43,255.52,255.39,255.4,23865
2026-03-12T18:06:00.000+0000,255.38,255.38,255.21,255.21,19268
2026-03-12T18:07:00.000+0000,255.22,255.4,255.12,255.37,36747
2026-03-12T18:08:00.000+0000,255.36,255.5,255.35,255.35,31201
2026-03-12T18:09:00.000+0000,255.33,255.39,255.28,255.38,23424
2026-03-12T18:10:00.000+0000,255.36,255.43,255.33,255.42,22088
2026-03-12T18:11:00.000+0000,255.42,255.47,255.31,255.39,24234
2026-03-12T18:12:00.000+0000,255.37,255.4,255.28,255.36,20573
2026-03-12T18:13:00.000+0000,255.36,255.51,255.29,255.48,36051
2026-03-12T18:14:00.000+0000,255.49,255.51,255.4,255.47,26665
2026-03-12T18:15:00.000+0000,255.48,255.62,255.45,255.54,40183
2026-03-12T18:16:00.000+0000,255.56,255.68,255.46,255.65,45466
2026-03-12T18:17:00.000+0000,255.66,255.67,255.53,255.59,56501
2026-03-12T18:18:00.000+0000,255.6,255.66,255.42,255.5,67534
2026-03-12T18:19:00.000+0000,255.51,255.61,255.4,255.55,36156
2026-03-12T18:20:00.000+0000,255.53,255.53,255.27,255.27,50709
2026-03-12T18:21:00.000+0000,255.25,255.45,255.25,255.44,49926
2026-03-12T18:22:00.000+0000,255.43,255.58,255.43,255.46,35206
2026-03-12T18:23:00.000+0000,255.44,255.59,255.44,255.55,28566
2026-03-12T18:24:00.000+0000,255.54,255.63,255.5,255.54,23761
2026-03-12T18:25:00.000+0000,255.54,255.58,255.48,255.49,22499
2026-03-12T18:26:00.000+0000,255.49,255.54,255.43,255.48,30826
2026-03-12T18:27:00.000+0000,255.5,255.52,255.4,255.44,27353
2026-03-12T18:28:00.000+0000,255.45,255.51,255.23,255.24,32911
2026-03-12T18:29:00.000+0000,255.26,255.44,255.25,255.4,30162
2026-03-12T18:30:00.000+0000,255.37,255.37,255.25,255.37,30048
2026-03-12T18:31:00.000+0000,255.35,255.46,255.31,255.43,24420
2026-03-12T18:32:00.000+0000,255.43,255.48,255.35,255.41,29397
2026-03-12T18:33:00.000+0000,255.38,255.4,255.28,255.33,22591
2026-03-12T18:34:00.000+0000,255.27,255.32,255.08,255.08,32275
2026-03-12T18:35:00.000+0000,255.1,255.11,255.01,255.07,38080
2026-03-12T18:36:00.000+0000,255.06,255.08,254.89,255.0,47977
2026-03-12T18:37:00.000+0000,254.99,255.16,254.97,255.16,38245
2026-03-12T18:38:00.000+0000,255.17,255.18,255.05,255.09,16614
2026-03-12T18:39:00.000+0000,255.09,255.18,255.06,255.11,27001
2026-03-12T18:40:00.000+0000,255.11,255.11,254.96,255.03,25404
2026-03-12T18:41:00.000+0000,255.01,255.21,255.01,255.21,26130
2026-03-12T18:42:00.000+0000,255.2,255.29,255.18,255.25,24169
2026-03-12T18:43:00.000+0000,255.24,255.26,255.14,255.2,15945
2026-03-12T18:44:00.000+0000,255.22,255.23,255.11,255.15,12792
2026-03-12T18:45:00.000+0000,255.13,255.18,255.08,255.08,14315
2026-03-12T18:46:00.000+0000,255.09,255.21,255.09,255.12,16960
2026-03-12T18:47:00.000+0000,255.11,255.15,255.07,255.09,20717
2026-03-12T18:48:00.000+0000,255.09,255.11,255.0,255.02,22674
2026-03-12T18:49:00.000+0000,255.03,255.04,254.9,254.91,30622
2026-03-12T18:50:00.000+0000,254.92,255.11,254.91,255.08,30119
2026-03-12T18:51:00.000+0000,255.1,255.25,255.1,255.17,24086
2026-03-12T18:52:00.000+0000,255.18,255.18,255.11,255.11,18660
2026-03-12T18:53:00.000+0000,255.09,255.21,255.07,255.21,19765
2026-03-12T18:54:00.000+0000,255.2,255.3,255.19,255.3,17485
2026-03-12T18:55:00.000+0000,255.29,255.3,255.14,255.18,17997
2026-03-12T18:56:00.000+0000,255.18,255.21,255.09,255.12,11885
2026-03-12T18:57:00.000+0000,255.13,255.34,255.12,255.32,32419
2026-03-12T18:58:00.000+0000,255.33,255.41,255.14,255.15,22963
2026-03-12T18:59:00.000+0000,255.16,255.22,255.1,255.17,23725
2026-03-12T19:00:00.000+0000,255.17,255.36,255.08,255.34,24867
2026-03-12T19:01:00.000+0000,255.37,255.51,255.22,255.27,30786
2026-03-12T19:02:00.000+0000,255.26,255.34,255.15,255.26,22843
2026-03-12T19:03:00.000+0000,255.27,255.29,255.16,255.16,20176
2026-03-12T19:04:00.000+0000,255.15,255.4,255.13,255.4,42275
2026-03-12T19:05:00.000+0000,255.39,255.64,255.35,255.52,45117
2026-03-12T19:06:00.000+0000,255.52,255.6,255.48,255.56,21359
2026-03-12T19:07:00.000+0000,255.57,255.58,255.44,255.54,33591
2026-03-12T19:08:00.000+0000,255.54,255.64,255.5,255.61,20441
2026-03-12T19:09:00.000+0000,255.62,255.64,255.47,255.54,26712
2026-03-12T19:10:00.000+0000,255.53,255.7,255.53,255.61,44507
2026-03-12T19:11:00.000+0000,255.62,255.62,255.41,255.43,26346
2026-03-12T19:12:00.000+0000,255.42,255.63,255.39,255.58,33167
2026-03-12T19:13:00.000+0000,255.58,255.58,255.45,255.55,20530
2026-03-12T19:14:00.000+0000,255.55,255.7,255.51,255.68,32840
2026-03-12T19:15:00.000+0000,255.68,255.76,255.68,255.74,43252
2026-03-12T19:16:00.000+0000,255.75,255.77,255.65,255.66,31849
2026-03-12T19:17:00.000+0000,255.66,255.77,255.64,255.74,37462
2026-03-12T19:18:00.000+0000,255.74,255.91,255.73,255.88,72368
2026-03-12T19:19:00.000+0000,255.87,255.9,255.82,255.86,28359
2026-03-12T19:20:00.000+0000,255.87,255.94,255.82,255.92,42825
2026-03-12T19:21:00.000+0000,255.92,256.05,255.91,256.04,45619
2026-03-12T19:22:00.000+0000,256.04,256.25,256.02,256.21,62472
2026-03-12T19:23:00.000+0000,256.21,256.23,255.97,256.03,86353
2026-03-12T19:24:00.000+0000,256.03,256.04,255.87,255.93,53759
2026-03-12T19:25:00.000+0000,255.92,256.05,255.83,255.97,61513
2026-03-12T19:26:00.000+0000,255.99,256.18,255.86,256.09,76195
2026-03-12T19:27:00.000+0000,256.08,256.09,255.9,255.95,31947
2026-03-12T19:28:00.000+0000,255.92,256.05,255.88,255.89,34667
2026-03-12T19:29:00.000+0000,255.89,256.1,255.85,256.09,69006
2026-03-12T19:30:00.000+0000,256.1,256.21,256.05,256.1,45482
2026-03-12T19:31:00.000+0000,256.11,256.13,255.94,255.99,30787
2026-03-12T19:32:00.000+0000,256.01,256.13,255.98,256.13,39553
2026-03-12T19:33:00.000+0000,256.11,256.2,256.02,256.04,39023
2026-03-12T19:34:00.000+0000,256.05,256.09,255.96,255.98,24737
2026-03-12T19:35:00.000+0000,255.98,256.04,255.75,255.75,37230
2026-03-12T19:36:00.000+0000,255.76,255.83,255.7,255.83,25327
2026-03-12T19:37:00.000+0000,255.83,256.08,255.82,256.0,42629
2026-03-12T19:38:00.000+0000,255.98,256.01,255.91,255.94,26852
2026-03-12T19:39:00.000+0000,255.95,256.0,255.88,255.94,30263
2026-03-12T19:40:00.000+0000,255.93,255.93,255.56,255.6,45040
2026-03-12T19:41:00.000+0000,255.61,255.69,255.46,255.5,32829
2026-03-12T19:42:00.000+0000,255.51,255.57,255.29,255.29,72385
2026-03-12T19:43:00.000+0000,255.3,255.34,255.25,255.26,35415
2026-03-12T19:44:00.000+0000,255.28,255.4,255.24,255.31,45394
2026-03-12T19:45:00.000+0000,255.33,255.33,255.13,255.25,39817
2026-03-12T19:46:00.000+0000,255.25,255.26,255.02,255.16,66204
2026-03-12T19:47:00.000+0000,255.15,255.22,255.05,255.06,61320
2026-03-12T19:48:00.000+0000,255.06,255.19,255.03,255.14,51086
2026-03-12T19:49:00.000+0000,255.16,255.22,255.01,255.08,44786
2026-03-12T19:50:00.000+0000,255.08,255.86,255.01,255.6,181855
2026-03-12T19:51:00.000+0000,255.6,255.61,255.4,255.43,74470
2026-03-12T19:52:00.000+0000,255.42,255.43,255.19,255.23,75637
2026-03-12T19:53:00.000+0000,255.23,255.52,255.14,255.16,95906
2026-03-12T19:54:00.000+0000,255.14,255.56,254.97,255.55,122044
2026-03-12T19:55:00.000+0000,255.55,255.88,255.52,255.68,259361
2026-03-12T19:56:00.000+0000,255.68,255.83,255.65,255.77,181772
2026-03-12T19:57:00.000+0000,255.78,255.87,255.61,255.68,270763
2026-03-12T19:58:00.000+0000,255.68,255.82,255.64,255.77,243587
2026-03-12T19:59:00.000+0000,255.77,255.85,255.61,255.75,787589
2026-03-13T13:30:00.000+0000,255.4,255.89,255.04,255.25,633084
2026-03-13T13:31:00.000+0000,255.28,255.36,254.88,255.18,78442
2026-03-13T13:32:00.000+0000,255.22,255.33,254.83,255.33,83705
2026-03-13T13:33:00.000+0000,255.29,255.69,255.17,255.5,67883
2026-03-13T13:34:00.000+0000,255.54,255.87,255.33,255.62,62844
2026-03-13T13:35:00.000+0000,255.62,255.67,255.29,255.52,80415
2026-03-13T13:36:00.000+0000,255.5,255.77,255.2,255.76,72363
2026-03-13T13:37:00.000+0000,255.76,256.23,255.72,255.85,84868
2026-03-13T13:38:00.000+0000,255.87,255.92,255.34,255.66,63124
2026-03-13T13:39:00.000+0000,255.68,255.68,255.16,255.25,49182
2026-03-13T13:40:00.000+0000,255.23,255.28,254.92,255.09,85483
2026-03-13T13:41:00.000+0000,255.09,255.2,254.91,255.04,68292
2026-03-13T13:42:00.000+0000,255.01,255.59,255.0,255.35,91645
2026-03-13T13:43:00.000+0000,255.37,255.67,255.25,255.67,58680
2026-03-13T13:44:00.000+0000,255.63,255.82,255.5,255.79,55121
2026-03-13T13:45:00.000+0000,255.77,256.05,255.64,256.03,91668
2026-03-13T13:46:00.000+0000,256.03,256.21,255.93,256.07,50667
2026-03-13T13:47:00.000+0000,256.07,256.19,255.79,256.18,61891
2026-03-13T13:48:00.000+0000,256.17,256.2,255.8,256.05,35990
2026-03-13T13:49:00.000+0000,256.0,256.14,255.9,255.99,47599
2026-03-13T13:50:00.000+0000,255.98,256.2,255.69,255.72,81044
2026-03-13T13:51:00.000+0000,255.7,255.8,255.61,255.61,36861
2026-03-13T13:52:00.000+0000,255.63,255.81,255.59,255.65,39649
2026-03-13T13:53:00.000+0000,255.61,256.03,255.54,255.99,44348
2026-03-13T13:54:00.000+0000,255.99,256.2,255.98,256.12,43523
2026-03-13T13:55:00.000+0000,256.13,256.33,256.1,256.24,31445
2026-03-13T13:56:00.000+0000,256.23,256.24,255.71,255.84,43494
2026-03-13T13:57:00.000+0000,255.82,255.86,255.51,255.53,35694
2026-03-13T13:58:00.000+0000,255.54,255.99,255.5,255.91,43854
2026-03-13T13:59:00.000+0000,255.91,255.92,255.71,255.81,21793
2026-03-13T14:00:00.000+0000,255.83,255.95,255.69,255.84,42792
2026-03-13T14:01:00.000+0000,255.85,255.88,255.33,255.67,75686
2026-03-13T14:02:00.000+0000,255.63,255.72,255.43,255.63,53601
2026-03-13T14:03:00.000+0000,255.67,255.7,255.38,255.51,29079
2026-03-13T14:04:00.000+0000,255.5,255.66,255.47,255.49,21116
2026-03-13T14:05:00.000+0000,255.5,255.55,255.38,255.42,37365
2026-03-13T14:06:00.000+0000,255.45,255.59,255.41,255.57,27952
2026-03-13T14:07:00.000+0000,255.54,255.69,255.42,255.47,31798
2026-03-13T14:08:00.000+0000,255.45,255.45,255.21,255.35,51937
2026-03-13T14:09:00.000+0000,255.37,255.43,255.17,255.23,33992
2026-03-13T14:10:00.000+0000,255.21,255.46,254.98,255.25,170404
2026-03-13T14:11:00.000+0000,255.28,255.51,255.16,255.27,51447
2026-03-13T14:12:00.000+0000,255.28,255.39,255.13,255.2,32450
2026-03-13T14:13:00.000+0000,255.25,255.3,255.1,255.22,37576
2026-03-13T14:14:00.000+0000,255.24,255.31,255.17,255.2,61236
2026-03-13T14:15:00.000+0000,255.2,255.3,255.01,255.2,39899
2026-03-13T14:16:00.000+0000,255.2,255.25,255.0,255.01,46417
2026-03-13T14:17:00.000+0000,255.04,255.07,254.64,254.7,68463
2026-03-13T14:18:00.000+0000,254.68,254.88,254.68,254.77,49666
2026-03-13T14:19:00.000+0000,254.79,255.06,254.74,254.94,46220
2026-03-13T14:20:00.000+0000,254.93,255.14,254.88,254.93,51825
2026-03-13T14:21:00.000+0000,254.93,255.21,254.84,255.17,39000
2026-03-13T14:22:00.000+0000,255.19,255.26,255.02,255.16,43835
2026-03-13T14:23:00.000+0000,255.18,255.34,255.08,255.33,43792
2026-03-13T14:24:00.000+0000,255.33,255.34,255.07,255.14,28656
2026-03-13T14:25:00.000+0000,255.12,255.12,254.92,255.08,24437
2026-03-13T14:26:00.000+0000,255.1,255.32,254.96,255.21,29311
2026-03-13T14:27:00.000+0000,255.16,255.49,255.13,255.31,81758
2026-03-13T14:28:00.000+0000,255.34,255.55,255.15,255.54,30387
2026-03-13T14:29:00.000+0000,255.51,255.54,255.38,255.41,27420
2026-03-13T14:30:00.000+0000,255.43,255.52,255.37,255.49,31785
2026-03-13T14:31:00.000+0000,255.51,255.78,255.45,255.71,52980
2026-03-13T14:32:00.000+0000,255.71,255.81,255.6,255.79,28501
2026-03-13T14:33:00.000+0000,255.8,255.8,255.58,255.61,25645
2026-03-13T14:34:00.000+0000,255.59,255.59,255.23,255.29,31500
